"seqnames","start","end","width","strand","logFC","logCPM","F","PValue","FDR","status","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",153413465,153414175,711,"*",0.829792707214952,-1.50185317256492,13.9061824587566,0.000326618420303382,0.0297744731467076,"Gained","Promoter (2-3kb)",1,153416520,153423222,6703,1,"338324","ENST00000368729.9",-2345,"ENSG00000184330","S100A7A","S100 calcium binding protein A7A"
"chr1",167264410,167264675,266,"*",1.5550876392403,-2.37834321206976,22.2444051810231,8.17551720279481e-06,0.00253881627398459,"Gained","Intron (ENST00000559038.5/5451, intron 2 of 4)",1,167251919,167415908,163990,1,"5451","ENST00000648671.1",12491,"ENSG00000143190","POU2F1","POU class 2 homeobox 1"
"chr1",169444385,169444718,334,"*",1.06658657573936,-2.15784989385891,13.6661568851274,0.000365101397109318,0.0315809581866602,"Gained","Intron (ENST00000545005.5/57821, intron 2 of 6)",1,169454391,169460421,6031,2,"57821","ENST00000437857.2",15703,"ENSG00000117477","CCDC181","coiled-coil domain containing 181"
"chr1",185906452,185906655,204,"*",1.18473939170179,-2.43850524016097,12.565137489014,0.000610667933371635,0.0423857843356729,"Gained","Intron (ENST00000271588.9/83872, intron 4 of 106)",1,185957069,185993437,36369,1,"83872","ENST00000485744.5",-50414,"ENSG00000143341","HMCN1","hemicentin 1"
"chr1",186471773,186472052,280,"*",1.3792994264288,-2.67473092342226,12.6947022414885,0.000572250988750602,0.0408693563727455,"Gained","Intron (ENST00000655945.1/102724919, intron 2 of 2)",1,186465709,186521147,55439,1,"102724919","ENST00000655945.1",6064,"ENSG00000229739","PDC-AS1","PDC antisense RNA 1"
"chr1",224577387,224578615,1229,"*",0.840854056720676,-0.766295137531548,25.4705121357815,2.15243658887682e-06,0.00100122853654331,"Gained","Intron (ENST00000471578.5/149111, intron 4 of 5)",1,224565365,224588555,23191,1,"149111","ENST00000492470.1",12022,"ENSG00000143786","CNIH3","cornichon family AMPA receptor auxiliary protein 3"
"chr1",224581780,224586424,4645,"*",0.410203570335563,1.30399101279059,17.6328131111631,6.02769286579356e-05,0.0103279992171905,"Gained","Exon (ENST00000471578.5/149111, exon 5 of 6)",1,224565365,224588555,23191,1,"149111","ENST00000492470.1",16415,"ENSG00000143786","CNIH3","cornichon family AMPA receptor auxiliary protein 3"
"chr1",224589470,224592399,2930,"*",0.404604501321649,0.876541687446266,12.0197254805297,0.000791613408421401,0.049096974626658,"Gained","Intron (ENST00000498382.5/149111, intron 1 of 5)",1,224611397,224615951,4555,2,"102723817","ENST00000784747.1",23552,"ENSG00000233384","CNIH3-AS2","CNIH3 antisense RNA 2"
"chr1",224597365,224599288,1924,"*",0.498918062949716,0.0825902625648643,14.1932085963813,0.000285756101304842,0.0276089282441898,"Gained","Intron (ENST00000498382.5/149111, intron 1 of 5)",1,224611397,224615951,4555,2,"102723817","ENST00000784747.1",16663,"ENSG00000233384","CNIH3-AS2","CNIH3 antisense RNA 2"
"chr1",224610254,224611263,1010,"*",0.659828997952725,-0.62400571662422,14.7095931626594,0.000225307839900511,0.0240420398965615,"Gained","Exon (ENST00000437416.3/102723817, exon 4 of 4)",1,224611397,224615951,4555,2,"102723817","ENST00000784747.1",4688,"ENSG00000233384","CNIH3-AS2","CNIH3 antisense RNA 2"
"chr1",224658257,224658994,738,"*",0.77761717151664,-1.42614328640763,12.6015992687757,0.000601204491035129,0.0420345363533859,"Gained","Intron (ENST00000498382.5/149111, intron 1 of 5)",1,224611401,224618948,7548,2,"102723817","ENST00000784741.1",-39309,"ENSG00000233384","CNIH3-AS2","CNIH3 antisense RNA 2"
"chr1",224689181,224693815,4635,"*",0.344737250860989,1.40789081981358,12.7631764486106,0.000556753045113751,0.0402243161913012,"Gained","Intron (ENST00000498382.5/149111, intron 3 of 5)",1,224717504,224730662,13159,2,"105373106","ENST00000431691.1",36847,NA,"CNIH3-AS1","CNIH3 antisense RNA 1"
"chr1",224699262,224701148,1887,"*",0.528338956897908,0.210337455570065,16.7959798987806,8.75085503352265e-05,0.0131587399964313,"Gained","Intron (ENST00000498382.5/149111, intron 3 of 5)",1,224717504,224730662,13159,2,"105373106","ENST00000431691.1",29514,NA,"CNIH3-AS1","CNIH3 antisense RNA 1"
"chr1",225590820,225591081,262,"*",1.18202948623978,-2.29460023511131,12.3149726901412,0.000688054403197817,0.0453926622771446,"Gained","Intron (ENST00000366843.7/55740, intron 1 of 13)",1,225519198,225580257,61060,2,"55740","ENST00000391874.2",-10563,"ENSG00000154380","ENAH","ENAH actin regulator"
"chr1",228649526,228649987,462,"*",1.01186889104798,-2.04999821236918,13.4622140419528,0.000401579963164425,0.033334045761412,"Gained","Distal Intergenic",1,228646040,228646158,119,2,"100169768","ENST00000363500.1",-3368,"ENSG00000200370","RNA5S17","RNA, 5S ribosomal 17"
"chr1",232094302,232094663,362,"*",1.20525774383772,-2.29786894187453,14.9784489278615,0.000199136209400363,0.0222149040768807,"Gained","Distal Intergenic",1,232052373,232091925,39553,1,"105373171","ENST00000833231.1",41929,NA,"LOC105373171","uncharacterized LOC105373171"
"chr1",232938532,232938991,460,"*",0.965700628963142,-1.97486063647091,12.0516262290793,0.000780342909829868,0.0487105183641922,"Gained","Distal Intergenic",1,232950605,232978482,27878,1,"84284","ENST00000494689.5",-11614,"ENSG00000135778","NTPCR","nucleoside-triphosphatase, cancer-related"
"chr1",233051437,233051839,403,"*",1.08408323292283,-2.1411640947851,14.4421210544557,0.000254955121965738,0.0259149639527233,"Gained","Promoter (2-3kb)",1,233025263,233054689,29427,2,"80003","ENST00000429988.2",2850,"ENSG00000135749","PCNX2","pecanex 2"
"chr1",238236142,238236730,589,"*",0.910649830348671,-1.87708197116351,12.0739414342958,0.000772126646868189,0.0484290732069625,"Gained","Promoter (2-3kb)",1,238238924,238500013,261090,1,"105373220","ENST00000716147.1",-2194,"ENSG00000234464","LOC105373220","uncharacterized LOC105373220"
"chr1",239790379,239790756,378,"*",1.15747812768376,-2.20111034570121,15.7391004940183,0.000140935882287032,0.0179545711631986,"Gained","Intron (ENST00000468573.5/1131, intron 6 of 8)",1,239708775,239770130,61356,2,"100506915","ENST00000650922.1",-20249,"ENSG00000233355","CHRM3-AS2","CHRM3 antisense RNA 2"
"chr1",239795462,239795697,236,"*",1.33997059064256,-2.66620732347201,12.1893080514895,0.000727321604592493,0.0468456279680582,"Gained","Intron (ENST00000468573.5/1131, intron 6 of 8)",1,239708775,239770130,61356,2,"100506915","ENST00000650922.1",-25332,"ENSG00000233355","CHRM3-AS2","CHRM3 antisense RNA 2"
"chr1",240264309,240264962,654,"*",1.28916476859636,-1.71909291615281,28.7609190735552,5.73972791212741e-07,0.000394770445710332,"Gained","Intron (ENST00000319653.14/56776, intron 7 of 17)",1,240257995,240475168,217174,1,"56776","ENST00000681805.1",6314,"ENSG00000155816","FMN2","formin 2"
"chr1",244658674,244659031,358,"*",1.24216633958692,-2.33126817028023,15.4318751090225,0.000161869283359007,0.0195906719587959,"Gained","Intron (ENST00000263831.11/51029, intron 1 of 3)",1,244653751,244691922,38172,1,"51029","ENST00000418162.1",4923,"ENSG00000121644","DESI2","desumoylating isopeptidase 2"
"chr10",4482276,4482609,334,"*",1.04433708264955,-2.063046301895,13.8669321070738,0.000332661257720556,0.0300107353080582,"Gained","Intron (ENST00000835607.1/ENST00000835607.1, intron 3 of 5)",10,4406502,4409251,2750,1,"100507059","ENST00000434902.1",75774,"ENSG00000224382","LINC00703","long intergenic non-protein coding RNA 703"
"chr10",7614062,7614270,209,"*",1.3011232474668,-2.65412035053684,12.5486207602549,0.000613640922781074,0.0425280467169988,"Gained","Promoter (2-3kb)",10,7576892,7617266,40375,2,"80760","ENST00000461751.1",2996,"ENSG00000123243","ITIH5","inter-alpha-trypsin inhibitor heavy chain 5"
"chr10",7972131,7972505,375,"*",1.06742684793208,-2.09335157172612,14.3805654578753,0.000262315126194712,0.0263749055866345,"Gained","Intron (ENST00000687671.1/83860, intron 3 of 3)",10,8035534,8042884,7351,1,"105376394","ENST00000831803.1",-63029,"ENSG00000308117","LOC105376394","uncharacterized LOC105376394"
"chr10",8473864,8474221,358,"*",0.959204130367121,-1.98542647586501,13.4179558657396,0.000409994467508925,0.0336831217861924,"Gained","Distal Intergenic",10,8434947,8454469,19523,2,"105376397","ENST00000751525.1",-19395,NA,"LOC105376397","uncharacterized LOC105376397"
"chr10",12169734,12170225,492,"*",0.867299356522312,-1.66436311310335,13.5963068627918,0.000377256782785436,0.0321835358020929,"Gained","3' UTR",10,12172490,12173813,1324,2,"11164","ENST00000498825.1",3588,"ENSG00000165609","NUDT5","nudix hydrolase 5"
"chr10",19724452,19724692,241,"*",1.20654246821627,-2.4350038545796,13.6067587279868,0.000374659921918197,0.0320956366984623,"Gained","Promoter (2-3kb)",10,19721600,19727505,5906,2,"101928834","ENST00000657622.1",2813,"ENSG00000233968","MALRD1-AS1","MALRD1 antisense RNA 1"
"chr10",24634106,24634880,775,"*",0.867267679398005,-1.63287994500218,13.8021021706698,0.000342822624987689,0.0305331167439223,"Gained","Intron (ENST00000612832.4/57584, intron 5 of 18)",10,24620879,24622842,1964,2,"57584","ENST00000483114.1",-11264,"ENSG00000107863","ARHGAP21","Rho GTPase activating protein 21"
"chr10",41814015,41817826,3812,"*",0.372976457497654,1.19823748680207,13.0941120271506,0.00047657481158122,0.0367378282904091,"Gained","Distal Intergenic",10,42192551,42241910,49360,2,"105378267","ENST00000800245.1",424084,NA,"LOC105378267","uncharacterized LOC105378267"
"chr10",42564504,42565787,1284,"*",0.546388864409894,-0.249493926216281,13.53419634564,0.000387994191452754,0.0326582101311335,"Gained","Distal Intergenic",10,42520823,42552879,32057,2,"100129482","ENST00000761202.1",-11625,"ENSG00000293313","ZNF37BP","zinc finger protein 37B, pseudogene"
"chr10",44537857,44539425,1569,"*",0.458783881849249,0.150080863994806,12.3399946856247,0.000679959753912347,0.045121840407941,"Gained","Distal Intergenic",10,44582237,44590972,8736,1,"124902533","ENST00000738582.1",-42812,NA,"LOC124902533","uncharacterized LOC124902533"
"chr10",44543161,44544879,1719,"*",0.53309751022117,0.173952719237678,15.2033310445655,0.000179714430919683,0.0208990148182856,"Gained","Distal Intergenic",10,44582237,44590972,8736,1,"124902533","ENST00000738582.1",-37358,NA,"LOC124902533","uncharacterized LOC124902533"
"chr10",49060637,49060842,206,"*",1.30574604197413,-2.42925725885228,14.5934668163538,0.000237226115717106,0.0248270500668609,"Gained","Intron (ENST00000332853.9/196740, intron 5 of 7)",10,49064151,49077291,13141,2,"196740","ENST00000476018.2",16449,"ENSG00000165633","VSTM4","V-set and transmembrane domain containing 4"
"chr10",49636410,49636874,465,"*",0.99168750826826,-1.81691905382728,15.6465222773671,0.000147080426985318,0.018438356988902,"Gained","Promoter (<=1kb)",10,49637400,49665067,27668,1,"1103","ENST00000640822.1",-526,"ENSG00000070748","CHAT","choline O-acetyltransferase"
"chr10",50430035,50430931,897,"*",0.643386500930911,-1.08320338694282,12.0384556062588,0.00078484930092712,0.0488469869557508,"Gained","Intron (ENST00000429490.5/259230, intron 6 of 9)",10,50344136,50418478,74343,2,"259230","ENST00000492601.2",-11557,"ENSG00000198964","SGMS1","sphingomyelin synthase 1"
"chr10",51038131,51038616,486,"*",0.873472206567763,-1.79623663297774,12.3542614945879,0.000675959430159827,0.04500225552661,"Gained","Intron (ENST00000401604.8/5592, intron 1 of 17)",10,51062579,51068553,5975,2,"102724719","ENST00000343087.4",29937,"ENSG00000223502","LOC102724719","uncharacterized LOC102724719"
"chr10",51048909,51049569,661,"*",0.874913192140253,-1.28217098324088,17.4153663253823,6.64428833940787e-05,0.0110432632925442,"Gained","Intron (ENST00000401604.8/5592, intron 1 of 17)",10,51062579,51068553,5975,2,"102724719","ENST00000343087.4",18984,"ENSG00000223502","LOC102724719","uncharacterized LOC102724719"
"chr10",51584398,51584764,367,"*",1.10231223425563,-2.17589069581391,14.1787665918985,0.000287843491492032,0.0277423682658795,"Gained","Intron (ENST00000401604.8/5592, intron 3 of 17)",10,51695486,51699595,4110,2,"23283","ENST00000331173.6",114831,"ENSG00000177613","CSTF2T","cleavage stimulation factor subunit 2 tau variant"
"chr10",51902117,51903044,928,"*",0.699121459599769,-1.19072918378995,12.0150530150581,0.000793693477177651,0.0491483807039407,"Gained","Intron (ENST00000401604.8/5592, intron 4 of 17)",10,52046748,52185074,138327,1,"5592","ENST00000646354.1",-143704,"ENSG00000185532","PRKG1","protein kinase cGMP-dependent 1"
"chr10",52630644,52632219,1576,"*",0.524411563397942,-0.145551351741442,12.945956341327,0.000510918465522587,0.0381459171633529,"Gained","Intron (ENST00000647908.1/101928687, intron 2 of 6)",10,52533135,52755370,222236,2,"105378305","ENST00000736176.1",123151,"ENSG00000231131","LOC105378305","uncharacterized LOC105378305"
"chr10",55360751,55361661,911,"*",0.790586569599604,-1.24491511645315,14.1599404614412,0.000290342578228173,0.0278390260212585,"Gained","Intron (ENST00000613346.4/65217, intron 2 of 5)",10,54378823,55319614,940792,2,"65217","ENST00000458638.1",-41137,"ENSG00000150275","PCDH15","protocadherin related 15"
"chr10",57891656,57892615,960,"*",0.653386953347757,-0.835059464160718,12.9536862653015,0.00050915862927386,0.0381049949125307,"Gained","Distal Intergenic",10,57845117,57847429,2313,2,"105378314","ENST00000765255.1",-44227,NA,"LOC105378314","uncharacterized LOC105378314"
"chr10",59704301,59704846,546,"*",0.733547055240855,-1.36578927436836,12.4416652006993,0.000648360855011006,0.0438679093177418,"Gained","Intron (ENST00000395348.8/220963, intron 1 of 5)",10,59684098,59709522,25425,2,"220963","ENST00000490066.1",4676,"ENSG00000165449","SLC16A9","solute carrier family 16 member 9"
"chr10",61583390,61584174,785,"*",0.831158073294616,-1.20259404696553,17.4119734211085,6.65366245127562e-05,0.0110536468848678,"Gained","Distal Intergenic",10,61662929,61766766,103838,1,"219621","ENST00000648843.3",-78755,"ENSG00000183346","CABCOCO1","ciliary associated calcium binding coiled-coil 1"
"chr10",63497494,63497857,364,"*",0.981609128586312,-1.91939074820218,13.334616431636,0.000426265453271388,0.0345103950142254,"Gained","Intron (ENST00000719935.1/ENST00000719935.1, intron 1 of 1)",10,63521401,63625128,103728,1,"221035","ENST00000373758.5",-23544,"ENSG00000165476","REEP3","receptor accessory protein 3"
"chr10",64246868,64247134,267,"*",1.2059382621746,-2.46273896404475,12.585011460156,0.000604839182761249,0.0421826706585366,"Gained","Intron (ENST00000654191.1/124902439, intron 3 of 5)",10,64060126,64316594,256469,1,"124902439","ENST00000764125.1",186742,"ENSG00000228566","LOC124902439","uncharacterized LOC124902439"
"chr10",72937418,72938035,618,"*",0.740915608347381,-1.34579400362908,12.2657134714119,0.000704686401070121,0.0460809137592409,"Gained","Intron (ENST00000373032.4/84647, intron 3 of 3)",10,72934762,72954806,20045,2,"84647","ENST00000373032.4",16771,"ENSG00000138308","PLA2G12B","phospholipase A2 group XIIB"
"chr10",73188972,73189778,807,"*",0.698325817426113,-1.21764053330922,12.082387210622,0.000768692928004297,0.0482952717204381,"Gained","Intron (ENST00000242505.11/317662, intron 3 of 13)",10,73177872,73235452,57581,1,"317662","ENST00000372955.7",11100,"ENSG00000138286","FAM149B1","family with sequence similarity 149 member B1"
"chr10",80956748,80957438,691,"*",0.756754492318894,-1.38410355056865,12.8056263998085,0.000546073261496079,0.0397138266921656,"Gained","Distal Intergenic",10,80651907,80653730,1824,1,"105378386","ENST00000759644.1",304841,NA,"LINC02655","long intergenic non-protein coding RNA 2655"
"chr10",82428245,82428520,276,"*",1.51668029614874,-2.75198762719731,14.442190820827,0.000252463024414448,0.0257653675857519,"Gained","Intron (ENST00000372141.7/10718, intron 2 of 8)",10,82232250,82232920,671,2,"101929590","ENST00000505481.1",-195325,"ENSG00000225738","NRG3-AS1","NRG3 antisense RNA 1"
"chr10",83038990,83039840,851,"*",0.642453457297932,-1.04396467644487,12.156396993307,0.000742045701947986,0.0472921364059953,"Gained","Distal Intergenic",10,83188986,83223252,34267,2,"105378392","ENST00000798226.1",183412,NA,"LOC105378392","uncharacterized LOC105378392"
"chr10",89618424,89618820,397,"*",0.872524359127605,-1.8569672769174,12.7809722260536,0.00055264058532699,0.0400370624587249,"Gained","Intron (ENST00000342512.4/53354, intron 1 of 6)",10,89599162,89611908,12747,2,"53354","ENST00000461829.1",-6516,"ENSG00000152782","PANK1","pantothenate kinase 1"
"chr10",105259212,105259864,653,"*",0.978399400033849,-1.65654144283234,16.3231573697157,0.000108328164591486,0.0152332495635287,"Gained","Intron (ENST00000369701.8/22986, intron 25 of 26)",10,105158928,105211250,52323,1,"22986","ENST00000393176.2",100284,"ENSG00000156395","SORCS3","sortilin related VPS10 domain containing receptor 3"
"chr10",125411176,125411622,447,"*",0.963791740396559,-1.79718435896411,15.3152016657841,0.000170984984988687,0.0202978354140935,"Gained","Intron (ENST00000753056.1/ENST00000753056.1, intron 2 of 2)",10,125467972,125489850,21879,2,"105378543","ENST00000813027.1",78228,NA,"LOC105378543","uncharacterized LOC105378543"
"chr11",3691441,3692544,1104,"*",0.714267539616713,-0.583006658859666,17.5204766882349,6.33715937883305e-05,0.0106556479727214,"Gained","3' UTR",11,3679638,3695558,15921,2,"4928","ENST00000524563.1",3014,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
"chr11",3704468,3705167,700,"*",0.794908148597596,-1.21149477102928,15.8515944023793,0.000133944206784313,0.0174795953749737,"Gained","Promoter (1-2kb)",11,3675878,3706535,30658,2,"4928","ENST00000429801.5",1368,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
"chr11",3712151,3712697,547,"*",0.880566600171318,-1.5142356577314,15.5906002598115,0.000150819733107716,0.0187081030483179,"Gained","3' UTR",11,3675878,3706535,30658,2,"4928","ENST00000429801.5",-5616,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
"chr11",3770707,3772074,1368,"*",0.619927480667735,-0.450633662739887,15.739492482853,0.000140846564570164,0.0179496608507475,"Gained","Promoter (2-3kb)",11,3731483,3768680,37198,2,"4928","ENST00000397013.2",-2027,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
"chr11",3774051,3774769,719,"*",0.724122488622817,-1.09971092149778,13.7001710867512,0.000359268054812281,0.0313370740866882,"Gained","Intron (ENST00000359171.8/4928, intron 5 of 32)",11,3731483,3768680,37198,2,"4928","ENST00000397013.2",-5371,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
"chr11",3784185,3784796,612,"*",0.878550138548668,-1.57148664533733,14.3514642489213,0.000265862254533165,0.0265728458996533,"Gained","Promoter (2-3kb)",11,3711575,3782089,70515,2,"4928","ENST00000700605.1",-2096,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
"chr11",3785216,3786222,1007,"*",0.671767601882975,-0.865296211922648,13.3775042171263,0.000417499463439694,0.0340630614618342,"Gained","Intron (ENST00000359171.8/4928, intron 1 of 32)",11,3711575,3782089,70515,2,"4928","ENST00000700605.1",-3127,"ENSG00000110713","NUP98","nucleoporin 98 and 96 precursor"
