"seqnames","start","end","width","strand","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",61434130,61434503,374,"*","Intron (ENST00000371191.5/4774, intron 10 of 10)",1,61406672,61455874,49203,1,"4774","ENST00000493627.1",27458,"ENSG00000162599","NFIA","nuclear factor I A"
"chr1",63714263,63714580,318,"*","Intron (ENST00000830687.1/105378771, intron 1 of 2)",1,63669666,63675140,5475,1,"105378771","ENST00000830813.1",44597,NA,"LOC105378771","uncharacterized LOC105378771"
"chr1",63864213,63864671,459,"*","Intron (ENST00000371079.6/4919, intron 1 of 8)",1,63775290,64140364,365075,1,"4919","ENST00000482426.1",88923,"ENSG00000185483","ROR1","receptor tyrosine kinase like orphan receptor 1"
"chr1",64039525,64039897,373,"*","Intron (ENST00000371079.6/4919, intron 2 of 8)",1,64033935,64035151,1217,2,"105378772","ENST00000818759.1",-4374,NA,"LOC105378772","uncharacterized LOC105378772"
"chr1",64898134,64898380,247,"*","Intron (ENST00000342505.5/3716, intron 1 of 24)",1,64867100,64869408,2309,2,"3716","ENST00000672903.1",-28726,"ENSG00000162434","JAK1","Janus kinase 1"
"chr1",65425658,65425956,299,"*","Intron (ENST00000475108.5/54741, intron 2 of 2)",1,65420716,65436007,15292,1,"54741","ENST00000613538.1",4942,"ENSG00000213625","LEPROT","leptin receptor overlapping transcript"
"chr1",67339785,67340005,221,"*","Intron (ENST00000262345.5/3595, intron 8 of 15)",1,67343724,67397023,53300,1,"3595","ENST00000696763.1",-3719,"ENSG00000081985","IL12RB2","interleukin 12 receptor subunit beta 2"
"chr1",68384344,68384780,437,"*","Exon (ENST00000812914.1/ENST00000812914.1, exon 1 of 2)",1,68428822,68449954,21133,2,"6121","ENST00000262340.6",65174,"ENSG00000116745","RPE65","retinoid isomerohydrolase RPE65"
"chr1",78176534,78176776,243,"*","Distal Intergenic",1,78222433,78251816,29384,1,"149047","ENST00000823881.1",-45657,"ENSG00000237413","MGC27382","uncharacterized MGC27382"
"chr1",78620163,78620495,333,"*","Promoter (<=1kb)",1,78620382,78641968,21587,1,"10964","ENST00000476521.5",0,"ENSG00000137959","IFI44L","interferon induced protein 44 like"
"chr1",79079956,79080161,206,"*","Intron (ENST00000661030.1/64123, intron 3 of 16)",1,78946334,79028261,81928,2,"64123","ENST00000662640.1",-51695,"ENSG00000162618","ADGRL4","adhesion G protein-coupled receptor L4"
"chr1",84253938,84254248,311,"*","Exon (ENST00000721911.1/ENST00000721911.1, exon 3 of 3)",1,84277321,84277457,137,1,"124904808","ENST00000363089.1",-23073,"ENSG00000199959","LOC124904808","small nucleolar RNA SNORA2/SNORA34 family"
"chr1",94258906,94259142,237,"*","Intron (ENST00000835310.1/107985092, intron 2 of 3)",1,94247899,94334806,86908,1,"107985092","ENST00000660527.1",11007,"ENSG00000226835","ARHGAP29-AS1","ARHGAP29 antisense RNA 1"
"chr1",94300009,94300443,435,"*","Promoter (2-3kb)",1,94297189,94334809,37621,1,"107985092","ENST00000835319.1",2820,"ENSG00000226835","ARHGAP29-AS1","ARHGAP29 antisense RNA 1"
"chr1",94739638,94740110,473,"*","Promoter (2-3kb)",1,94732133,94742495,10363,2,"101928079","ENST00000424711.1",2385,"ENSG00000293271","SLC44A3-AS1","SLC44A3 antisense RNA 1"
"chr1",96362564,96363005,442,"*","Intron (ENST00000435311.1/101928241, intron 1 of 5)",1,96254069,96374125,120057,2,"101928241","ENST00000435311.1",11120,"ENSG00000231987","LINC01787","long intergenic non-protein coding RNA 1787"
"chr1",97006093,97006514,422,"*","Distal Intergenic",1,97095923,97322955,227033,1,"100873932","ENST00000422980.1",-89409,"ENSG00000232878","DPYD-AS1","DPYD antisense RNA 1"
"chr1",97192960,97193222,263,"*","Exon (ENST00000370192.8/1806, exon 20 of 23)",1,97265446,97280208,14763,1,"100873932","ENST00000629811.2",-72224,"ENSG00000232878","DPYD-AS1","DPYD antisense RNA 1"
"chr1",98048303,98048562,260,"*","Promoter (<=1kb)",1,97989494,98048605,59112,2,"400765","ENST00000747904.1",43,"ENSG00000225206","MIR137HG","MIR137 host gene"
"chr1",108000644,108001076,433,"*","Intron (ENST00000715653.1/100873946, intron 1 of 4)",1,107571161,107965180,394020,2,"10451","ENST00000370056.9",-35464,"ENSG00000134215","VAV3","vav guanine nucleotide exchange factor 3"
"chr1",108016574,108016964,391,"*","Intron (ENST00000715653.1/100873946, intron 1 of 4)",1,108040263,108074519,34257,1,"107985124","ENST00000715654.1",-23299,NA,"LINC02785","long intergenic non-protein coding RNA 2785"
"chr1",109370787,109371165,379,"*","Promoter (1-2kb)",1,109368478,109369589,1112,2,"6272","ENST00000495777.5",-1198,"ENSG00000134243","SORT1","sortilin 1"
"chr1",113396605,113396902,298,"*","Intron (ENST00000307546.14/260425, intron 1 of 20)",1,113391261,113404455,13195,1,"260425","ENST00000477955.1",5344,"ENSG00000081026","MAGI3","membrane associated guanylate kinase, WW and PDZ domain containing 3"
"chr1",115067499,115067795,297,"*","Intron (ENST00000369516.7/10100, intron 2 of 7)",1,115050445,115058425,7981,2,"10100","ENST00000491992.1",-9074,"ENSG00000134198","TSPAN2","tetraspanin 2"
"chr1",115546139,115546373,235,"*","Intron (ENST00000832018.1/ENST00000832018.1, intron 3 of 3)",1,115505543,115534926,29384,1,"124904375","ENST00000815341.1",40596,NA,"LOC124904375","uncharacterized LOC124904375"
"chr1",116538713,116538989,277,"*","Intron (ENST00000756327.1/ENST00000756327.1, intron 2 of 2)",1,116519231,116544590,25360,2,"965","ENST00000526981.1",5601,"ENSG00000116815","CD58","CD58 molecule"
"chr1",116820407,116820664,258,"*","Distal Intergenic",1,116880009,116885944,5936,1,"105378927","ENST00000789362.1",-59345,"ENSG00000302765","LOC105378927","uncharacterized LOC105378927"
"chr1",118325640,118325950,311,"*","Distal Intergenic",1,118185361,118207056,21696,1,"105378930","ENST00000828985.1",140279,"ENSG00000287980","LOC105378930","uncharacterized LOC105378930"
"chr1",118335178,118335742,565,"*","Distal Intergenic",1,118185361,118207056,21696,1,"105378930","ENST00000828985.1",149817,"ENSG00000287980","LOC105378930","uncharacterized LOC105378930"
"chr1",118785303,118785540,238,"*","Distal Intergenic",1,118883047,118914125,31079,2,"6913","ENST00000449873.5",128585,"ENSG00000092607","TBX15","T-box transcription factor 15"
"chr1",119080520,119081483,964,"*","Promoter (1-2kb)",1,119034129,119082541,48413,2,"10352","ENST00000497402.1",1058,"ENSG00000116874","WARS2","tryptophanyl tRNA synthetase 2, mitochondrial"
"chr1",119097520,119097746,227,"*","Intron (ENST00000369426.9/10352, intron 1 of 5)",1,119034129,119082541,48413,2,"10352","ENST00000497402.1",-14979,"ENSG00000116874","WARS2","tryptophanyl tRNA synthetase 2, mitochondrial"
"chr1",119279400,119279632,233,"*","Intron (ENST00000715919.1/101929147, intron 4 of 5)",1,119160535,119327206,166672,2,"107985192","ENST00000840370.1",47574,NA,"LOC107985192","uncharacterized LOC107985192"
"chr1",119285419,119285731,313,"*","Intron (ENST00000715919.1/101929147, intron 4 of 5)",1,119160535,119327206,166672,2,"107985192","ENST00000840370.1",41475,NA,"LOC107985192","uncharacterized LOC107985192"
"chr1",119298821,119299247,427,"*","Exon (ENST00000840526.1/ENST00000840526.1, exon 2 of 2)",1,119160535,119327206,166672,2,"107985192","ENST00000840370.1",27959,NA,"LOC107985192","uncharacterized LOC107985192"
"chr1",119452933,119453301,369,"*","Exon (ENST00000756950.1/ENST00000756950.1, exon 1 of 2)",1,119417413,119422023,4611,1,"3284","ENST00000448448.2",35520,"ENSG00000203859","HSD3B2","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
"chr1",119554098,119554461,364,"*","Promoter (<=1kb)",1,119485029,119554349,69321,2,"105378935","ENST00000756946.1",0,NA,"LOC105378935","uncharacterized LOC105378935"
"chr1",119987098,119987447,350,"*","Promoter (<=1kb)",1,119950365,119987050,36686,2,"4853","ENST00000640021.1",-48,"ENSG00000134250","NOTCH2","notch receptor 2"
"chr1",146051653,146052200,548,"*","Promoter (<=1kb)",1,146050441,146052244,1804,2,"101954276","ENST00000659152.1",44,"ENSG00000201558","RNVU1-6","RNA, variant U1 small nuclear 6"
"chr1",146376887,146377248,362,"*","Promoter (<=1kb)",1,146376807,146376970,164,1,"124904613","ENST00000615842.1",80,"ENSG00000273768","LOC124904613","U1 spliceosomal RNA"
"chr1",149886479,149887129,651,"*","Promoter (<=1kb)",1,149886918,149887411,494,1,"8338","ENST00000331380.4",0,"ENSG00000184260","H2AC20","H2A clustered histone 20"
"chr1",159161512,159161824,313,"*","Intron (ENST00000695582.1/9447, intron 1 of 3)",1,159171609,159202012,30404,1,"57863","ENST00000368124.8",-9785,"ENSG00000162706","CADM3","cell adhesion molecule 3"
"chr1",159881926,159882224,299,"*","Promoter (1-2kb)",1,159876263,159880700,4438,2,"25790","ENST00000475911.2",-1226,"ENSG00000213085","CFAP45","cilia and flagella associated protein 45"
"chr1",164794452,164794727,276,"*","Promoter (1-2kb)",1,164792671,164886007,93337,1,"5087","ENST00000699848.1",1781,"ENSG00000185630","PBX1","PBX homeobox 1"
"chr1",166185002,166185211,210,"*","Intron (ENST00000653824.3/112268276, intron 1 of 2)",1,166069299,166167001,97703,2,"149297","ENST00000354422.4",-18001,"ENSG00000188859","FAM78B","family with sequence similarity 78 member B"
"chr1",168466159,168466550,392,"*","Intron (ENST00000823039.1/ENST00000823039.1, intron 3 of 3)",1,168492846,168495640,2795,2,"101928565","ENST00000823123.1",29090,"ENSG00000228697","LOC101928565","uncharacterized LOC101928565"
"chr1",168471170,168471397,228,"*","Intron (ENST00000823039.1/ENST00000823039.1, intron 3 of 3)",1,168492846,168495640,2795,2,"101928565","ENST00000823123.1",24243,"ENSG00000228697","LOC101928565","uncharacterized LOC101928565"
"chr1",169312219,169312506,288,"*","Promoter (2-3kb)",1,169169521,169310071,140551,2,"29922","ENST00000483228.5",-2148,"ENSG00000143156","NME7","NME/NM23 family member 7"
"chr1",171901330,171901540,211,"*","Intron (ENST00000688173.1/26052, intron 1 of 14)",1,171864187,171864687,501,1,"100874284","ENST00000450800.1",37143,"ENSG00000233540","DNM3-IT1","DNM3 intronic transcript 1"
"chr1",172745931,172746686,756,"*","Intron (ENST00000725727.1/ENST00000725727.1, intron 1 of 1)",1,172659144,172666075,6932,1,"356","ENST00000340030.4",86787,"ENSG00000117560","FASLG","Fas ligand"
"chr1",173393274,173393475,202,"*","Intron (ENST00000714452.1/7292, intron 2 of 6)",1,173417935,173420495,2561,2,"101928673","ENST00000778748.1",27020,"ENSG00000203739","PRDX6-AS1","PRDX6 antisense RNA 1"
"chr1",174040537,174040781,245,"*","Distal Intergenic",1,174022435,174023191,757,1,"105371620","ENST00000424181.2",18102,"ENSG00000224977","RC3H1-DT","RC3H1 divergent transcript"
"chr1",174068077,174068284,208,"*","Distal Intergenic",1,174022435,174023191,757,1,"105371620","ENST00000424181.2",45642,"ENSG00000224977","RC3H1-DT","RC3H1 divergent transcript"
"chr1",175314035,175314679,645,"*","Intron (ENST00000838100.1/105371623, intron 1 of 1)",1,175307218,175335459,28242,1,"105371623","ENST00000569593.1",6817,NA,"LOC105371623","uncharacterized LOC105371623"
"chr1",177209337,177209711,375,"*","Intron (ENST00000361539.5/57795, intron 1 of 7)",1,177170958,177282422,111465,1,"57795","ENST00000361539.5",38379,"ENSG00000198797","BRINP2","BMP/retinoic acid inducible neural specific 2"
"chr1",178341333,178341549,217,"*","Promoter (<=1kb)",1,178324088,178341335,17248,2,"105371629","ENST00000753842.1",0,NA,"LOC105371629","uncharacterized LOC105371629"
"chr1",179017134,179017370,237,"*","Promoter (<=1kb)",1,179017293,179024985,7693,1,"9917","ENST00000728819.1",0,"ENSG00000116199","FAM20B","FAM20B glycosaminoglycan xylosylkinase"
"chr1",181251075,181251291,217,"*","Distal Intergenic",1,181236388,181238604,2217,1,"100287948","ENST00000319701.2",14687,"ENSG00000179452","LINC01699","long intergenic non-protein coding RNA 1699"
"chr1",183916060,183916305,246,"*","Intron (ENST00000304685.8/23179, intron 16 of 18)",1,183929889,183936924,7036,2,"23127","ENST00000486375.2",20619,"ENSG00000198756","COLGALT2","collagen beta(1-O)galactosyltransferase 2"
"chr1",183956732,183956933,202,"*","Intron (ENST00000649786.1/23127, intron 6 of 11)",1,183937965,183964500,26536,2,"23127","ENST00000367520.3",7567,"ENSG00000198756","COLGALT2","collagen beta(1-O)galactosyltransferase 2"
"chr1",185646290,185646662,373,"*","Promoter (<=1kb)",1,185646430,185655666,9237,1,"105371653","ENST00000785884.1",0,"ENSG00000261729","GS1-204I12.4","uncharacterized GS1-204I12.4"
"chr1",192531141,192531384,244,"*","Intron (ENST00000642657.1/ENST00000642657.1, intron 2 of 2)",1,192491667,192567286,75620,2,"105371664","ENST00000737322.1",35902,NA,"LOC105371664","uncharacterized LOC105371664"
"chr1",200184239,200184579,341,"*","Distal Intergenic",1,200107272,200108464,1193,2,"107985244","ENST00000809350.1",-75775,NA,"LOC107985244","uncharacterized LOC107985244"
"chr1",200372294,200372602,309,"*","Promoter (<=1kb)",1,200366701,200372275,5575,2,"554279","ENST00000760628.1",-19,"ENSG00000203721","LINC00862","long intergenic non-protein coding RNA 862"
"chr1",206001510,206001713,204,"*","Promoter (1-2kb)",1,205976740,206003395,26656,2,"338382","ENST00000617070.5",1682,"ENSG00000276600","RAB7B","RAB7B, member RAS oncogene family"
"chr1",207084782,207085093,312,"*","Distal Intergenic",1,207088860,207099993,11134,1,"725","ENST00000367078.8",-3767,"ENSG00000123843","C4BPB","complement component 4 binding protein beta"
"chr1",213725177,213725492,316,"*","Intron (ENST00000788948.1/26750, intron 4 of 5)",1,213729100,213873567,144468,1,"26750","ENST00000788970.1",-3608,"ENSG00000136643","RPS6KC1","ribosomal protein S6 kinase C1"
"chr1",214386794,214387093,300,"*","3' UTR",1,214372246,214376406,4161,2,"5784","ENST00000473261.1",-10388,"ENSG00000152104","PTPN14","protein tyrosine phosphatase non-receptor type 14"
"chr1",214581976,214582289,314,"*","Distal Intergenic",1,214603185,214622834,19650,1,"1063","ENST00000706764.1",-20896,"ENSG00000117724","CENPF","centromere protein F"
"chr1",218380470,218380758,289,"*","Intron (ENST00000366930.9/7042, intron 1 of 6)",1,218344195,218347866,3672,2,"728463","ENST00000774588.1",-32604,NA,"TGFB2-AS1","TGFB2 antisense RNA 1"
"chr1",219771091,219771292,202,"*","Intron (ENST00000484239.5/105372926, intron 8 of 8)",1,219914264,219919030,4767,2,"55532","ENST00000484079.1",147738,"ENSG00000196660","SLC30A10","solute carrier family 30 member 10"
"chr1",219812599,219812805,207,"*","Intron (ENST00000484239.5/105372926, intron 6 of 8)",1,219914264,219919030,4767,2,"55532","ENST00000484079.1",106225,"ENSG00000196660","SLC30A10","solute carrier family 30 member 10"
"chr1",228902954,228903280,327,"*","Intron (ENST00000848621.1/ENST00000848621.1, intron 1 of 3)",1,228929934,228948707,18774,2,"124904539","ENST00000848809.1",45427,NA,"LOC124904539","uncharacterized LOC124904539"
"chr1",230104781,230105204,424,"*","Intron (ENST00000494106.1/2590, intron 1 of 6)",1,230112662,230114032,1371,1,"2590","ENST00000830731.1",-7458,"ENSG00000143641","GALNT2","polypeptide N-acetylgalactosaminyltransferase 2"
"chr1",231395552,231395876,325,"*","Intron (ENST00000667629.1/54583, intron 1 of 3)",1,231370240,231374090,3851,2,"54583","ENST00000663780.1",-21462,"ENSG00000135766","EGLN1","egl-9 family hypoxia inducible factor 1"
"chr1",232868936,232869324,389,"*","Intron (ENST00000667494.2/101927711, intron 2 of 3)",1,232843391,232865909,22519,1,"101927711","ENST00000833161.1",25545,"ENSG00000286774","LOC101927711","uncharacterized LOC101927711"
"chr1",233112841,233113751,911,"*","3' UTR",1,233089851,233135188,45338,2,"80003","ENST00000484041.5",21437,"ENSG00000135749","PCNX2","pecanex 2"
"chr1",235903237,235903482,246,"*","Exon (ENST00000786961.1/105373215, exon 4 of 4)",1,235909421,235956401,46981,1,"105373215","ENST00000786957.1",-5939,NA,"LOC105373215","uncharacterized LOC105373215"
"chr1",238063445,238063807,363,"*","Distal Intergenic",1,237906928,237927929,21002,1,"100130331","ENST00000794917.1",156517,"ENSG00000237250","LOC100130331","POTE ankyrin domain family, member F pseudogene"
"chr1",240191047,240191279,233,"*","Promoter (2-3kb)",1,240188207,240475168,286962,1,"56776","ENST00000545751.3",2840,"ENSG00000155816","FMN2","formin 2"
"chr1",240242805,240243117,313,"*","Promoter (2-3kb)",1,240245260,240329392,84133,1,"56776","ENST00000441342.1",-2143,"ENSG00000155816","FMN2","formin 2"
"chr1",243950219,243950504,286,"*","Intron (ENST00000806721.1/339529, intron 1 of 3)",1,243942710,244047320,104611,1,"339529","ENST00000806740.1",7509,"ENSG00000226828","LINC02774","long intergenic non-protein coding RNA 2774"
"chr1",244353798,244354052,255,"*","Promoter (1-2kb)",1,244352649,244389091,36443,1,"200159","ENST00000486803.1",1149,"ENSG00000173728","SPMIP3","sperm microtubule inner protein 3"
"chr10",4242690,4242958,269,"*","Promoter (<=1kb)",10,4242956,4243687,732,2,"100652988","ENST00000841480.1",729,NA,"LINC00702","long intergenic non-protein coding RNA 702"
"chr10",4354633,4354875,243,"*","Distal Intergenic",10,4334458,4336815,2358,1,"105376370","ENST00000748208.1",20175,"ENSG00000297481","LOC105376370","uncharacterized LOC105376370"
"chr10",4704159,4704446,288,"*","Promoter (<=1kb)",10,4704795,4767903,63109,1,"107984197","ENST00000738314.1",-349,NA,"LOC107984197","uncharacterized LOC107984197"
"chr10",8453716,8453920,205,"*","Promoter (<=1kb)",10,8435006,8453746,18741,2,"105376397","ENST00000751526.1",0,NA,"LOC105376397","uncharacterized LOC105376397"
"chr10",17962241,17962442,202,"*","Intron (ENST00000539911.5/221074, intron 2 of 11)",10,17951918,18043285,91368,1,"221074","ENST00000377369.7",10323,"ENSG00000148482","SLC39A12","solute carrier family 39 member 12"
"chr10",18713143,18713422,280,"*","Promoter (2-3kb)",10,18710309,18930908,220600,1,"107984180","ENST00000723466.1",2834,NA,"LOC107984180","uncharacterized LOC107984180"
"chr10",21724701,21724963,263,"*","Intron (ENST00000631589.1/8028, intron 14 of 22)",10,21744190,21750538,6349,2,"107984214","ENST00000804668.1",25575,NA,"LOC107984214","uncharacterized LOC107984214"
"chr10",22428018,22428345,328,"*","Intron (ENST00000487973.1/105376449, intron 2 of 3)",10,22391805,22454224,62420,1,"105376449","ENST00000487973.1",36213,NA,"LOC105376449","uncharacterized LOC105376449"
"chr10",22682612,22683301,690,"*","Intron (ENST00000376573.9/5305, intron 1 of 9)",10,22537015,22714108,177094,2,"5305","ENST00000545335.5",30807,"ENSG00000150867","PIP4K2A","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"
"chr10",24902121,24902388,268,"*","Intron (ENST00000320152.11/56952, intron 3 of 8)",10,24952273,24953524,1252,1,"79896","ENST00000610158.2",-49885,"ENSG00000185875","THNSL1","threonine synthase like 1"
"chr10",24963067,24963297,231,"*","Intron (ENST00000648191.1/101929025, intron 2 of 4)",10,24848614,24952606,103993,2,"56952","ENST00000320152.11",-10461,"ENSG00000099256","PRTFDC1","phosphoribosyl transferase domain containing 1"
"chr10",25060021,25060250,230,"*","Promoter (2-3kb)",10,24981980,25062279,80300,2,"219670","ENST00000615958.4",2029,"ENSG00000151023","ENKUR","enkurin, TRPC channel interacting protein"
"chr10",28326889,28327170,282,"*","Intron (ENST00000441595.2/143098, intron 2 of 11)",10,28054143,28334486,280344,2,"143098","ENST00000441595.2",7316,"ENSG00000150054","MPP7","MAGUK p55 scaffold protein 7"
"chr10",32413614,32413880,267,"*","Exon (ENST00000819278.1/101929431, exon 3 of 3)",10,32413506,32446022,32517,2,"101929431","ENST00000819279.1",32142,NA,"LOC101929431","uncharacterized LOC101929431"
"chr10",32681026,32681546,521,"*","Intron (ENST00000639629.2/79741, intron 22 of 43)",10,32686019,32876445,190427,1,"79741","ENST00000375028.9",-4473,"ENSG00000216937","CCDC7","coiled-coil domain containing 7"
"chr10",32692056,32692613,558,"*","Intron (ENST00000639629.2/79741, intron 24 of 43)",10,32686019,32876445,190427,1,"79741","ENST00000375028.9",6037,"ENSG00000216937","CCDC7","coiled-coil domain containing 7"
"chr10",33237960,33238248,289,"*","Intron (ENST00000374875.5/8829, intron 5 of 15)",10,33249414,33263704,14291,2,"8829","ENST00000455749.1",25456,"ENSG00000099250","NRP1","neuropilin 1"
"chr10",34494111,34494315,205,"*","Intron (ENST00000545260.5/56288, intron 3 of 22)",10,34312264,34426731,114468,2,"56288","ENST00000544292.5",-67380,"ENSG00000148498","PARD3","par-3 family cell polarity regulator"
"chr10",34758379,34758752,374,"*","Intron (ENST00000545260.5/56288, intron 1 of 22)",10,34813953,34816398,2446,1,"100505601","ENST00000832816.1",-55201,NA,"PARD3-DT","PARD3 divergent transcript"
"chr10",35409365,35409585,221,"*","Intron (ENST00000490012.6/219771, intron 6 of 9)",10,35434111,35501661,67551,1,"219771","ENST00000470025.1",-24526,"ENSG00000108100","CCNY","cyclin Y"
"chr10",37489112,37489499,388,"*","Intron (ENST00000788572.1/ENST00000788572.1, intron 2 of 2)",10,37619146,37632940,13795,1,"102724533","ENST00000835518.1",-129647,"ENSG00000308646","LOC102724533","uncharacterized LOC102724533"
"chr10",43707738,43707966,229,"*","Exon (ENST00000829693.1/124902417, exon 7 of 7)",10,43684718,43708110,23393,1,"124902417","ENST00000829693.1",23020,NA,"LOC124902417","uncharacterized LOC124902417"
