"Regiao","chr","start","end","XPC_WT","STAT1_WT","STAT2_WT","IRF9_WT","ELK1_WT","occupancy_score","SYMBOL","annotation","distanceToTSS","max_signalValue"
"region_05579","chr1",200415794,200416568,0,1,1,1,0,3,"LOC124904480","Exon (ENST00000635220.4/ENST00000635220.4, exon 2 of 2)",3933,31.1288
"region_05633","chr1",202043032,202043744,0,1,1,1,0,3,"ELF3","Distal Intergenic",29254,20.9834
"region_05703","chr1",203861360,203862319,0,1,1,0,1,3,"SNRPE","Promoter (<=1kb)",0,15.1861
"region_05709","chr1",204065066,204065554,0,1,1,1,0,3,"SOX13","Exon (ENST00000665939.2/ENST00000665939.2, exon 2 of 2)",-7561,32.0262
"region_05744","chr1",205121824,205122704,0,1,1,1,0,3,"RBBP5","Promoter (<=1kb)",0,21.4808
"region_05763","chr1",205630784,205632273,0,1,1,1,0,3,"ELK4","Promoter (<=1kb)",0,23.1094
"region_05856","chr1",208988748,208989155,0,1,1,1,0,3,"LINC01774","Distal Intergenic",16300,21.6495
"region_05926","chr1",212260826,212261584,0,1,1,1,0,3,"LINC02608","Intron (ENST00000771310.1/101929541, intron 1 of 3)",-21849,25.8163
"region_05934","chr1",212491397,212491890,0,1,1,1,0,3,"LINC02771","Intron (ENST00000423842.2/101929565, intron 1 of 3)",-17783,8.99277
"region_05970","chr1",213070362,213070913,0,1,1,1,0,3,"RPS6KC1","Promoter (2-3kb)",-2025,24.3257
"region_05977","chr1",213325832,213326178,0,1,1,1,0,3,"RPS6KC1","Distal Intergenic",-48377,11.0964
"region_06027","chr1",214027286,214028570,0,1,1,1,0,3,"PROX1","Intron (ENST00000366958.9/5629, intron 4 of 4)",37568,36.6618
"region_06033","chr1",214049417,214051538,0,1,1,1,0,3,"PROX1","Exon (ENST00000729804.1/105372911, exon 2 of 2)",59699,78.252
"region_06133","chr1",218380470,218380885,1,1,1,0,0,3,"TGFB2-AS1","Intron (ENST00000366930.9/7042, intron 1 of 6)",-32604,14.3265
"region_06138","chr1",218516489,218516920,0,1,1,1,0,3,"LINC02869","Promoter (2-3kb)",-2542,17.4564
"region_06178","chr1",219330593,219331802,0,1,1,1,0,3,"LYPLAL1","Exon (ENST00000811384.1/ENST00000811384.1, exon 1 of 4)",35611,43.0858
"region_06183","chr1",219441851,219442470,0,1,1,1,0,3,"LYPLAL1-AS1","Promoter (<=1kb)",215,15.5441
"region_06207","chr1",219993475,219994297,0,1,1,1,0,3,"EPRS1","Intron (ENST00000366923.8/2058, intron 18 of 31)",-9217,43.5257
"region_06342","chr1",224329965,224330641,0,1,1,1,0,3,"NVL","Promoter (<=1kb)",0,13.5695
"region_06368","chr1",224873503,224874572,0,1,1,1,0,3,"LOC105373108","Intron (ENST00000657178.1/105373108, intron 1 of 3)",6783,31.5366
"region_06371","chr1",224981470,224982414,0,1,1,1,0,3,"DNAH14","Intron (ENST00000445597.6/127602, intron 7 of 60)",13924,23.7176
"region_06392","chr1",225693997,225694655,0,1,1,1,0,3,"LOC102723834","Promoter (2-3kb)",2368,50.404
"region_06588","chr1",230104708,230105515,1,1,1,0,0,3,"GALNT2","Intron (ENST00000494106.1/2590, intron 1 of 6)",-7147,21.5682
"region_06661","chr1",231395357,231395876,1,1,1,0,0,3,"EGLN1","Intron (ENST00000667629.1/54583, intron 1 of 3)",-21267,13.6343
"region_06670","chr1",231528171,231528783,0,1,1,1,0,3,"TSNAX-DISC1","Promoter (<=1kb)",0,10.3759
"region_06720","chr1",232868936,232869324,1,1,1,0,0,3,"LOC101927711","Intron (ENST00000667494.2/101927711, intron 2 of 3)",25545,10.0419
"region_06722","chr1",233112841,233113865,1,1,1,0,0,3,"PCNX2","3' UTR",21323,8.99277
"region_06746","chr1",234400683,234401209,0,1,1,1,0,3,"TARBP1","Promoter (<=1kb)",0,33.955
"region_06806","chr1",234955104,234955703,0,1,1,1,0,3,"LINC02971","Promoter (<=1kb)",0,28.9302
"region_06809","chr1",234963080,234964722,0,1,1,1,0,3,"LNCATV","Promoter (<=1kb)",0,31.3649
"region_06836","chr1",235128541,235129172,0,1,1,0,1,3,"TOMM20","Promoter (<=1kb)",0,13.1794
"region_06842","chr1",235326756,235329680,0,1,1,1,0,3,"ARID4B","Promoter (<=1kb)",0,39.0329
"region_06913","chr1",238468916,238469695,0,1,1,1,0,3,"LOC124904565","Intron (ENST00000716147.1/105373220, intron 5 of 6)",-15750,34.9506
"region_06915","chr1",238950701,238951117,0,1,1,1,0,3,"LOC105373222","Distal Intergenic",107934,15.1989
"region_06946","chr1",239912540,239913697,0,1,1,1,0,3,"LOC105373224","3' UTR",3258,72.1949
"region_07097","chr1",248828574,248829377,0,1,1,1,0,3,"MIR3124","Promoter (2-3kb)",2197,53.5505
"region_07137","chr2",6864964,6867001,0,1,1,1,0,3,"CMPK2","Promoter (<=1kb)",0,84.9046
"region_07138","chr2",6877118,6878032,0,1,1,1,0,3,"RSAD2","Promoter (<=1kb)",0,76.7785
"region_07170","chr2",8119459,8120509,0,1,1,1,0,3,"LINC00299","Promoter (<=1kb)",0,21.1112
"region_07232","chr2",9554875,9556271,0,1,1,0,1,3,"ADAM17","Promoter (<=1kb)",0,17.9893
"region_07305","chr2",11387738,11388551,0,1,1,1,0,3,"LINC00570","Exon (ENST00000454489.1/ENST00000454489.1, exon 3 of 3)",-3259,18.2443
"region_07314","chr2",11499058,11501426,0,1,1,1,0,3,"GREB1","Intron (ENST00000628795.2/9687, intron 1 of 2)",16717,111.248
"region_07334","chr2",11830039,11830967,0,1,1,1,0,3,"LOC105373430","Promoter (<=1kb)",349,22.6762
"region_07354","chr2",15673818,15674697,0,1,1,1,0,3,"LOC124905976","Intron (ENST00000431117.1/ENST00000431117.1, intron 1 of 2)",-16083,65.2753
"region_07423","chr2",17579387,17579980,0,1,1,1,0,3,"VSNL1","Intron (ENST00000404666.6/7447, intron 1 of 3)",38227,20.9834
"region_07445","chr2",18559637,18560939,0,1,1,1,0,3,"LOC105373456","Promoter (<=1kb)",0,31.3049
"region_07470","chr2",19140575,19141242,1,1,1,0,0,3,"LINC01376","Exon (ENST00000776458.1/ENST00000776458.1, exon 1 of 5)",-15188,14.5268
"region_07562","chr2",20822687,20823321,0,1,1,0,1,3,"LDAH","Promoter (<=1kb)",0,22.3026
"region_07623","chr2",24076261,24076665,0,1,1,0,1,3,"FAM228B","Promoter (<=1kb)",0,17.723
"region_07641","chr2",25361995,25362665,0,1,1,1,0,3,"DTNB","Exon (ENST00000691863.3/ENST00000691863.3, exon 1 of 1)",17248,29.7368
"region_07680","chr2",26244455,26245193,0,1,1,1,0,3,"HADHA","Promoter (<=1kb)",0,21.8328
"region_07693","chr2",26493213,26494132,0,1,1,1,0,3,"OTOF","Intron (ENST00000272371.7/9381, intron 9 of 46)",-15089,38.7666
"region_07755","chr2",27890112,27890976,0,1,1,1,0,3,"RBKS","Promoter (<=1kb)",0,10.3763
"region_07880","chr2",33475492,33477289,0,1,1,1,0,3,"RASGRP3","Promoter (<=1kb)",0,42.3628
"region_07889","chr2",36376207,36376593,1,1,1,0,0,3,"LOC124907753","Promoter (1-2kb)",-1764,8.12536
"region_07913","chr2",37155989,37157853,0,1,1,1,0,3,"EIF2AK2","Promoter (<=1kb)",0,146.654
"region_07962","chr2",38647998,38648580,0,1,1,1,0,3,"GALM","Intron (ENST00000756141.1/ENST00000756141.1, intron 4 of 4)",-17501,34.6678
"region_07991","chr2",39469820,39470325,1,1,1,0,0,3,"MAP4K3-DT","Intron (ENST00000659562.1/728730, intron 3 of 5)",32345,14.8909
"region_07993","chr2",39491993,39492665,0,1,1,1,0,3,"MAP4K3-DT","Intron (ENST00000659562.1/728730, intron 3 of 5)",-21481,37.3579
"region_08006","chr2",39550524,39551439,0,1,1,1,0,3,"MAP4K3-DT","Intron (ENST00000659562.1/728730, intron 5 of 5)",31885,64.1087
"region_08011","chr2",39642241,39642744,1,1,1,0,0,3,"TMEM178A","Intron (ENST00000827213.1/728730, intron 5 of 5)",-22238,6.68172
"region_08021","chr2",41715627,41716014,0,1,1,1,0,3,"LINC01913","Intron (ENST00000805126.1/ENST00000805126.1, intron 1 of 1)",-144141,15.0867
"region_08049","chr2",42117911,42118590,1,1,1,0,0,3,"EML4-AS1","Distal Intergenic",50608,13.8172
"region_08129","chr2",43426392,43426861,1,1,1,0,0,3,"THADA","Intron (ENST00000407351.5/63892, intron 13 of 22)",-28334,11.068
"region_08160","chr2",44233411,44233989,0,1,1,1,0,3,"PPM1B","3' UTR",15589,29.7586
"region_08229","chr2",46029229,46030236,0,1,1,1,0,3,"PRKCE","Intron (ENST00000306156.8/5581, intron 10 of 14)",28327,120.397
"region_08257","chr2",46306171,46307731,0,1,1,1,0,3,"EPAS1","Intron (ENST00000460015.1/2034, intron 1 of 1)",8407,62.1914
"region_08271","chr2",46408699,46409655,0,1,1,1,0,3,"LOC124907762","Promoter (<=1kb)",64,63.6861
"region_08306","chr2",47037747,47038187,0,1,1,1,0,3,"TTC7A","Intron (ENST00000698500.1/57217, intron 17 of 21)",3592,24.7148
"region_08347","chr2",48221688,48222343,0,1,1,1,0,3,"LOC105374591","Intron (ENST00000651429.1/105374591, intron 2 of 8)",18640,43.8105
"region_08349","chr2",48248559,48248915,1,1,1,0,0,3,"LOC102724008","Intron (ENST00000651429.1/105374591, intron 2 of 8)",-4546,15.5089
"region_08351","chr2",48250713,48251451,0,1,1,1,0,3,"LOC102724008","Promoter (2-3kb)",-2010,72.5615
"region_08352","chr2",48265708,48266058,0,1,1,1,0,3,"LOC102724008","Promoter (2-3kb)",-2961,20.6752
"region_08358","chr2",48343895,48344554,0,1,1,1,0,3,"FOXN2","Intron (ENST00000413569.5/3344, intron 1 of 4)",29213,20.7525
"region_08440","chr2",54115267,54116244,0,1,1,0,1,3,"ACYP2","Promoter (<=1kb)",0,13.5009
"region_08446","chr2",54454558,54456161,0,1,1,1,0,3,"SPTBN1","Promoter (<=1kb)",-166,23.3221
"region_08508","chr2",55231795,55233178,0,1,1,1,0,3,"CLHC1","Promoter (<=1kb)",0,38.6193
"region_08515","chr2",55460599,55460932,0,1,1,1,0,3,"CCDC88A","Distal Intergenic",-40704,18.5624
"region_08521","chr2",55692708,55695278,0,1,1,1,0,3,"PNPT1","Promoter (<=1kb)",0,80.9556
"region_08545","chr2",57908642,57909289,0,1,1,1,0,3,"VRK2","Promoter (<=1kb)",986,27.9104
"region_08598","chr2",61356501,61357072,0,1,1,1,0,3,"USP34","Intron (ENST00000398571.7/9736, intron 10 of 79)",-8473,24.0999
"region_08607","chr2",61510907,61511677,0,1,1,1,0,3,"XPO1","Exon (ENST00000420673.6/7514, exon 4 of 4)",3305,27.3399
"region_08613","chr2",61670580,61671937,0,1,1,1,0,3,"LOC107985767","Distal Intergenic",91958,22.9539
"region_08616","chr2",61694823,61695425,0,1,1,1,0,3,"LOC107985767","Intron (ENST00000753764.1/107985767, intron 2 of 3)",68470,20.9834
"region_08624","chr2",61888371,61888993,0,1,1,1,0,3,"CCT4","Promoter (<=1kb)",0,16.6238
"region_08653","chr2",62578828,62579853,0,1,1,1,0,3,"TMEM17","Intron (ENST00000807714.1/ENST00000807714.1, intron 3 of 3)",-66934,17.7524
"region_08690","chr2",63984203,63985259,0,1,1,1,0,3,"VPS54","Intron (ENST00000409558.8/51542, intron 1 of 22)",-8601,38.2183
"region_08789","chr2",65136257,65136714,0,1,1,1,0,3,"RAB1A","Distal Intergenic",-5926,30.7798
"region_08802","chr2",65366615,65367107,1,1,1,0,0,3,"SPRED2","Promoter (<=1kb)",0,7.77721
"region_08803","chr2",65367488,65367830,1,1,1,0,0,3,"SPRED2","Promoter (<=1kb)",-736,5.18814
"region_08857","chr2",67037500,67038185,0,1,1,1,0,3,"LOC105374785","Promoter (<=1kb)",266,36.649
"region_08869","chr2",67463871,67464209,1,1,1,0,0,3,"LINC02831","Distal Intergenic",-52015,8.73764
"region_08880","chr2",68157384,68158147,0,1,1,1,0,3,"DNAAF10","Promoter (<=1kb)",0,12.2181
"region_08951","chr2",70068885,70069649,0,1,1,1,0,3,"PCBP1-AS1","Promoter (<=1kb)",0,36.7926
"region_08953","chr2",70086023,70087487,0,1,1,1,0,3,"ASPRV1","Promoter (<=1kb)",0,20.7301
"region_09017","chr2",72077640,72078545,0,1,1,1,0,3,"CYP26B1","Distal Intergenic",64539,38.3922
"region_09084","chr2",73640079,73641132,0,1,1,1,0,3,"LOC112268418","Promoter (<=1kb)",0,97.9146
"region_09149","chr2",74843804,74844460,0,1,1,1,0,3,"HK2","Intron (ENST00000290573.7/3099, intron 1 of 17)",8634,49.3117
"region_09259","chr2",84459051,84459563,0,1,1,1,0,3,"SUCLG1","Promoter (<=1kb)",0,15.6128
"region_09413","chr2",96485846,96486848,0,1,1,1,0,3,"NEURL3","Exon (ENST00000804858.1/ENST00000804858.1, exon 1 of 3)",18497,50.2136
"region_09530","chr2",100742193,100743364,1,1,1,0,0,3,"LOC105373508","Promoter (2-3kb)",2235,23.2828
"region_09531","chr2",100744485,100744997,0,1,1,1,0,3,"LOC105373508","Intron (ENST00000773627.1/105373508, intron 1 of 1)",4527,19.8569
"region_09549","chr2",101064921,101065541,1,1,1,0,0,3,"TBC1D8","Intron (ENST00000409318.2/11138, intron 2 of 19)",-31977,12.4471
"region_09624","chr2",102227664,102228117,1,1,1,0,0,3,"IL1RL2","Intron (ENST00000481806.1/8808, intron 7 of 9)",-12928,17.9718
"region_09660","chr2",106194411,106194893,0,1,1,1,0,3,"UXS1","Promoter (<=1kb)",-110,16.2325
"region_09717","chr2",110677977,110678741,0,1,1,1,0,3,"LOC105373554","Promoter (<=1kb)",0,46.6323
"region_09760","chr2",112541657,112542838,0,1,1,1,0,3,"LOC105373562","Promoter (<=1kb)",0,43.1546
